iter	MAE
0	0.0687794316
1	0.06859814548
2	0.06849375779
3	0.06846558508
4	0.06840692061
5	0.06839680089
6	0.06835738324
7	0.06832114313
8	0.0683033394
9	0.06830331025
10	0.06830329966
11	0.06828564824
12	0.06827463979
13	0.06826271497
14	0.0682444292
15	0.06822441351
16	0.06821639617
17	0.06821292582
18	0.06819917121
19	0.06818678075
20	0.06818218701
21	0.06817863863
22	0.06817858911
23	0.06817415311
24	0.06816859467
25	0.06815969422
26	0.06814858778
27	0.06813872677
28	0.06813000155
29	0.06812566428
30	0.06812337939
31	0.06811913071
32	0.06811127336
33	0.06810322208
34	0.06809520756
35	0.06808811346
36	0.0680817238
37	0.06807672818
38	0.0680687795
39	0.06806319225
40	0.06805947764
41	0.06805654874
42	0.06805249891
43	0.06805011819
44	0.06804439163
45	0.06804159354
46	0.06803200445
47	0.0680253076
48	0.06801592109
49	0.06801066175
50	0.0680013005
51	0.06799075018
52	0.06798876168
53	0.06798511254
54	0.06798099247
55	0.06797978029
56	0.06797320071
57	0.06797054405
58	0.06796352842
59	0.06796090507
60	0.06795757889
61	0.06795610153
62	0.06794969772
63	0.0679482128
64	0.06794540875
65	0.06794313391
66	0.06794280877
67	0.06794033466
68	0.06793746786
69	0.06793746232
70	0.0679292079
71	0.06792637021
72	0.06792400168
73	0.06792400162
74	0.06791943431
75	0.06791569038
76	0.06791415136
77	0.06791166822
78	0.06790714486
79	0.06790463416
80	0.06789922889
81	0.06789514792
82	0.06789290841
83	0.06788977692
84	0.06788386282
85	0.06788181272
86	0.06788039921
87	0.06787808046
88	0.06787021623
89	0.06786952945
90	0.0678664633
91	0.06785809548
92	0.06785644246
93	0.06785395156
94	0.06785109409
95	0.06784966881
96	0.06784643303
97	0.06784526941
98	0.06784298864
99	0.06783985831
100	0.06783755741
101	0.06783383849
102	0.06783112539
103	0.06782910267
104	0.06782826807
105	0.06782440757
106	0.06782013585
107	0.0678183576
108	0.06781771628
109	0.06781224089
110	0.0678096529
111	0.06780964724
112	0.06780294499
113	0.0677979257
114	0.06779238979
115	0.06779005102
116	0.06778884868
117	0.06778527832
118	0.06778458616
119	0.06777939719
120	0.06777546593
121	0.06777377517
122	0.06777220479
123	0.06776795528
124	0.06776162189
125	0.06775545482
126	0.06775516554
127	0.06775434225
128	0.06775170547
129	0.06774985914
130	0.06774632391
131	0.06774449812
132	0.06773969775
133	0.0677385842
134	0.06773362179
135	0.06773346164
136	0.06773068552
137	0.06772775449
138	0.06772448433
139	0.06772257706
140	0.06771973419
141	0.06771824435
142	0.06771315021
143	0.06771176842
144	0.06771172272
145	0.06771083343
146	0.06770805602
147	0.06770290054
148	0.06770174837
149	0.06770112923
150	0.06769812912
151	0.06769524102
152	0.06769518602
153	0.06769312298
154	0.0676925474
155	0.06769232669
156	0.06768915137
157	0.06768726366
158	0.06768569724
159	0.06768436926
160	0.06768083279
161	0.06767775412
162	0.06767655062
163	0.06767335973
164	0.06767188601
165	0.06766810521
166	0.06766635707
167	0.0676631296
168	0.06766196032
169	0.06766062389
170	0.06765833367
171	0.0676565413
172	0.06765472311
173	0.0676513872
174	0.06764764889
175	0.06764610707
176	0.06764572854
177	0.06764289887
178	0.06764214444
179	0.06764140485
180	0.06763910754
181	0.06763619847
182	0.06763434865
183	0.06763228527
184	0.06763181343
185	0.06762791436
186	0.06762705102
187	0.0676248491
188	0.06762021211
189	0.06761723663
190	0.06761602607
191	0.06761542993
192	0.0676115095
193	0.06761014216
194	0.06760741469
195	0.06760559575
196	0.06760263168
197	0.0676024119
198	0.06760140996
199	0.06760137097
